SurveyId,Country,OptInDate,BirthYear,Age,AgeGroup,Gender,Region,District,Urban_Rural,WaterSupply_Tap,WaterSupply_Standpipe,WaterSupply_Well,WaterSupply_Bottled water/sachet,WaterSupply_Tanker,WaterSupply_Cart vendor,WaterSupply_Rainwater,WaterSupply_Spring/River,FlowDays,FlowHours,SourceLocation,WaterPay,WaterChange,WaterSupplyBefore_Tap,WaterSupplyBefore_ Standpipe,WaterSupplyBefore_Well,WaterSupplyBefore_ Bottled water/sachet,WaterSupplyBefore_Tanker,WaterSupplyBefore_Cart vendor,WaterSupplyBefore_Rainwater,WaterSupplyBefore_Spring/River,FlowDaysBefore,FlowHoursBefore,WaterPayBefore
UPS-812359343085185094,Ghana,11-24-2020,1992,28,25-40,Male,Brong-Ahafo,Asutifi North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,2,More difficult,No,No,Yes,No,No,No,No,No,0,0,2
UPS-3126890318863819928,Ghana,11-23-2020,1997,23,15-24,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,1,More difficult,No,No,No,No,No,No,No,Yes,0,0,1
UPS-121814677200368852,Ghana,11-24-2020,1999,21,15-24,Male,Volta,Central Tongu,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,100,More difficult,Yes,No,No,No,No,No,No,No,7,23,500
UPS7295273541204453185,Ghana,11-25-2020,1993,27,25-40,Male,Volta,Kadjebi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,10,The same as before,No,No,No,Yes,No,No,No,No,0,0,8
UPS-8000291540420201115,Ghana,11-23-2020,1996,24,15-24,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,30,The same as before,No,No,No,No,No,No,No,Yes,0,0,15
UPS28261867187169993,Ghana,11-25-2020,1995,25,25-40,Male,Northern,Kpandai,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,5,More difficult,No,No,No,Yes,No,No,No,No,0,0,150
UPS8534965312473995622,Ghana,11-20-2020,1994,26,25-40,Female,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,4,6,I must walk to it,20,More difficult,No,Yes,No,No,No,No,No,No,6,8,10
UPS-8234203799959362409,Ghana,11-23-2020,1992,28,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],Yes,No,No,No,No,No,No,No,3,3,I must walk to it,35,The same as before,Yes,No,No,No,No,No,No,No,4,2,15
UPS3225728254860742574,Ghana,11-25-2020,1989,31,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,2,12,I must walk to it,30,Easier,No,Yes,No,No,No,No,No,No,6,10,50
UPS-1112476263198451860,Ghana,11-17-2020,1992,28,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,2,More difficult,Yes,No,No,No,No,No,No,No,2,8,8
UPS-7890610037953257149,Ghana,11-19-2020,1993,27,25-40,Female,Brong-Ahafo,Asutifi North,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,3,I must walk to it,20,More difficult,No,Yes,No,No,No,No,No,No,5,3,20
UPS6878685994853129740,Ghana,11-23-2020,1998,22,15-24,Male,Northern,Nanumba South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,1,Easier,Yes,No,No,No,No,No,No,No,2,3,3
UPS4826326053063521050,Ghana,11-17-2020,1987,33,25-40,Male,Brong-Ahafo,Kintampo North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,4,In my home or compound,6,The same as before,No,Yes,No,No,No,No,No,No,3,4,6
UPS-4543032481394503586,Ghana,11-25-2020,1993,27,25-40,Female,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,Neighbor,2,The same as before,No,No,Yes,No,No,No,No,No,0,0,2
UPS-795919904254673570,Ghana,11-22-2020,1993,27,25-40,Female,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,20,Easier,No,Yes,No,No,No,No,No,No,7,24,5
UPS6393526160525683852,Ghana,11-25-2020,1990,30,25-40,Male,Volta,Ketu North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,20,The same as before,No,No,No,Yes,No,No,No,No,0,0,15
UPS-6136774536805809076,Ghana,11-23-2020,1988,32,25-40,Female,Northern,Nanton,Urban area [city/town],No,Yes,No,No,No,No,No,No,3,18,I must walk to it,20,The same as before,No,Yes,No,No,No,No,No,No,3,18,30
UPS6090251163840387952,Ghana,11-24-2020,1990,30,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,50,More difficult,No,No,Yes,No,No,No,No,No,0,0,0
UPS2944515973704374105,Ghana,11-23-2020,1982,38,25-40,Male,Volta,Kadjebi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,100,More difficult,No,No,No,Yes,No,No,No,No,0,0,50
UPS7417272592324075547,Ghana,11-24-2020,1995,25,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,3,I must walk to it,30,More difficult,No,Yes,No,No,No,No,No,No,6,12,50
UPS-6007808678177114300,Ghana,11-17-2020,1992,28,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,10,The same as before,No,Yes,No,No,No,No,No,No,7,23,100
UPS9043099456960829786,Ghana,11-24-2020,1992,28,25-40,Female,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,60,More difficult,No,No,No,No,No,No,No,Yes,0,0,60
UPS-2271385683057127641,Ghana,11-24-2020,1989,31,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,6,22,In my home or compound,40,Easier,Yes,No,No,No,No,No,No,No,5,22,50
UPS7182523068218655675,Ghana,11-21-2020,1993,27,25-40,Male,Volta,Central Tongu,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,50,Easier,No,No,No,Yes,No,No,No,No,0,0,50
UPS5463930441253258132,Ghana,11-18-2020,1994,26,25-40,Male,Northern,Tatale Sanguli,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,15,I must walk to it,24,The same as before,No,Yes,No,No,No,No,No,No,3,15,48
UPS8660774205033412416,Ghana,11-24-2020,1992,28,25-40,Male,Northern,Zabzugu,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,5,The same as before,No,No,Yes,No,No,No,No,No,0,0,5
UPS-5760483248935512541,Ghana,11-21-2020,1991,29,25-40,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,20,More difficult,Yes,No,No,No,No,No,No,No,7,24,46
UPS7817402126336664297,Ghana,11-23-2020,1991,29,25-40,Female,Brong-Ahafo,Dormaa West,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,20,Easier,No,No,Yes,No,No,No,No,No,0,0,20
UPS924583157697250623,Ghana,11-22-2020,1995,25,25-40,Female,Northern,Tatale Sanguli,Rural area [village/farm],No,Yes,No,No,No,No,No,No,5,6,I must walk to it,30,More difficult,No,Yes,No,No,No,No,No,No,7,12,20
UPS-8386656014476293498,Ghana,11-17-2020,1988,32,25-40,Male,Brong-Ahafo,Nkoranza North,Urban area [city/town],Yes,No,No,No,No,No,No,No,6,24,In my home or compound,40,Easier,Yes,No,No,No,No,No,No,No,6,24,40
UPS-2524497661474350068,Ghana,11-23-2020,1990,30,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,Yes,No,No,0,0,I must walk to it,20,More difficult,No,No,Yes,No,No,No,No,No,0,0,10
UPS2462238689527204245,Ghana,11-25-2020,1996,24,15-24,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,40,The same as before,No,No,No,Yes,No,No,No,No,0,0,40
UPS4381792556251410065,Ghana,11-20-2020,1987,33,25-40,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,4,I must walk to it,0,Easier,No,Yes,No,No,No,No,No,No,7,3,20
UPS7165600984934054953,Ghana,11-25-2020,1975,45,40+,Male,Volta,Central Tongu,Rural area [village/farm],No,Yes,No,No,No,No,No,No,6,24,In my home or compound,0,The same as before,Yes,No,No,No,No,No,No,No,7,24,0
UPS4151044480898214099,Ghana,11-17-2020,1995,25,25-40,Female,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,300,More difficult,No,No,No,No,Yes,No,No,No,0,0,50
UPS3626979211882087417,Ghana,11-23-2020,1990,30,25-40,Male,Brong-Ahafo,Asutifi North,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,In my home or compound,70,The same as before,No,Yes,No,No,No,No,No,No,6,20,70
UPS8937776795758831002,Ghana,11-23-2020,1980,40,25-40,Female,Northern,Zabzugu,Rural area [village/farm],No,Yes,No,No,No,No,No,No,2,2,Neighbor,0,Easier,Yes,No,No,No,No,No,No,No,1,2,15
UPS-5009655384285469821,Ghana,11-25-2020,2001,19,15-24,Male,Brong-Ahafo,Dormaa West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,10,The same as before,No,No,No,Yes,No,No,No,No,0,0,10
UPS6348783328019141552,Ghana,11-21-2020,1995,25,25-40,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,200,More difficult,No,No,No,No,No,No,No,Yes,0,0,200
UPS-5828979680645891481,Ghana,11-23-2020,1990,30,25-40,Female,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,5,More difficult,No,No,No,No,No,No,Yes,No,0,0,20
UPS5128672860636119555,Ghana,11-17-2020,1990,30,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,5,The same as before,No,No,No,Yes,No,No,No,No,0,0,10
UPS-1328007559038130804,Ghana,11-17-2020,1994,26,25-40,Male,Volta,Ketu North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,3,More difficult,No,No,No,Yes,No,No,No,No,0,0,1
UPS5245632589379067706,Ghana,11-23-2020,1989,31,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,20,The same as before,No,No,Yes,No,No,No,No,No,0,0,20
UPS6944658745105324691,Ghana,11-20-2020,1995,25,25-40,Male,Volta,Ketu North,Urban area [city/town],No,Yes,No,No,No,No,No,No,6,24,Neighbor,150,The same as before,No,Yes,No,No,No,No,No,No,6,24,150
UPS-5989995677365169202,Ghana,11-17-2020,1991,29,25-40,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,30,More difficult,No,Yes,No,No,No,No,No,No,6,8,100
UPS-6490539274256173950,Ghana,11-24-2020,1993,27,25-40,Female,Northern,West Gonja,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,100,The same as before,No,Yes,No,No,No,No,No,No,3,4,45
UPS-5293570619058525260,Ghana,11-23-2020,1991,29,25-40,Female,Volta,Ho West,Rural area [village/farm],Yes,No,No,No,No,No,No,No,7,3,I must walk to it,20,The same as before,Yes,No,No,No,No,No,No,No,7,3,20
UPS-2787584313933091456,Ghana,11-24-2020,1993,27,25-40,Male,Northern,Tatale Sanguli,Rural area [village/farm],Yes,No,No,No,No,No,No,No,0,3,In my home or compound,200,More difficult,No,No,No,No,No,Yes,No,No,0,0,150
UPS-5804215468140086626,Ghana,11-21-2020,1995,25,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,3,The same as before,No,No,No,Yes,No,No,No,No,0,0,3
UPS-6126053346007608864,Ghana,11-20-2020,1995,25,25-40,Male,Brong-Ahafo,Asutifi South,Urban area [city/town],Yes,No,No,No,No,No,No,No,1,6,I must walk to it,0,The same as before,Yes,No,No,No,No,No,No,No,2,10,90
UPS-800590660521121889,Ghana,11-23-2020,1994,26,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,2,More difficult,No,No,No,No,Yes,No,No,No,0,0,1
UPS-7975877136939422261,Ghana,11-23-2020,1992,28,25-40,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],No,No,No,No,No,Yes,No,No,0,0,I must walk to it,6,The same as before,No,Yes,No,No,No,No,No,No,7,8,6
UPS-7463087137636903160,Ghana,11-23-2020,1980,40,25-40,Female,Brong-Ahafo,Wenchi,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,100,More difficult,No,Yes,No,No,No,No,No,No,5,12,49
UPS538917408083507926,Ghana,11-20-2020,1981,39,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],Yes,No,No,No,No,No,No,No,0,2,In my home or compound,30,More difficult,No,Yes,No,No,No,No,No,No,7,24,35
UPS-2701663273699065066,Ghana,11-24-2020,2000,20,15-24,Male,Brong-Ahafo,Asutifi North,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS-2744589956563706559,Ghana,11-17-2020,1992,28,25-40,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],Yes,No,No,No,No,No,No,No,7,24,Neighbor,20,The same as before,Yes,No,No,No,No,No,No,No,7,24,25
UPS-264380971443192879,Ghana,11-17-2020,1989,31,25-40,Male,Volta,Ketu North,Urban area [city/town],No,No,No,No,Yes,No,No,No,0,0,I must walk to it,365,More difficult,No,No,No,No,No,No,No,Yes,0,0,135
UPS8209455785421382409,Ghana,11-25-2020,1998,22,15-24,Female,Volta,Ketu North,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,3,Easier,No,Yes,No,No,No,No,No,No,7,7,10
UPS-4285300435187359414,Ghana,11-23-2020,1993,27,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,50,The same as before,No,No,No,No,No,No,Yes,No,0,0,50
UPS2304968895041089290,Ghana,11-25-2020,1997,23,15-24,Female,Northern,Nanton,Urban area [city/town],No,Yes,No,No,No,No,No,No,3,12,In my home or compound,250,The same as before,No,Yes,No,No,No,No,No,No,3,12,250
UPS-1171057026526754182,Ghana,11-25-2020,1991,29,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,25,The same as before,No,No,No,No,No,No,No,Yes,0,0,25
UPS-8465676202942827287,Ghana,11-19-2020,1992,28,25-40,Male,Volta,Ho West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,84,The same as before,No,No,No,Yes,No,No,No,No,0,0,84
UPS-9016927201509820677,Ghana,11-25-2020,1991,29,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,1,1,In my home or compound,50,More difficult,No,Yes,No,No,No,No,No,No,5,12,50
UPS-2503223584972721824,Ghana,11-24-2020,1965,55,40+,Male,Brong-Ahafo,Dormaa West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,100,More difficult,No,No,No,No,No,No,No,Yes,0,0,50
UPS-1582743659467257503,Ghana,11-25-2020,1986,34,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS-5528079220874818307,Ghana,11-23-2020,1986,34,25-40,Female,Brong-Ahafo,Kintampo North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,150,The same as before,Yes,No,No,No,No,No,No,No,5,6,300
UPS8468420417530494884,Ghana,11-23-2020,1993,27,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,400,More difficult,No,Yes,No,No,No,No,No,No,5,15,250
UPS3885159042774160559,Ghana,11-21-2020,1993,27,25-40,Male,Volta,Ketu North,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,18,In my home or compound,100,The same as before,No,Yes,No,No,No,No,No,No,6,20,90
UPS6042454761762080438,Ghana,11-21-2020,1998,22,15-24,Female,Northern,West Gonja,Urban area [city/town],No,Yes,No,No,No,No,No,No,3,16,In my home or compound,67,Easier,No,Yes,No,No,No,No,No,No,3,16,67
UPS3636841754235217261,Ghana,11-21-2020,1998,22,15-24,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,Yes,No,No,No,0,0,I must walk to it,2,More difficult,No,Yes,No,No,No,No,No,No,2,3,500
UPS-2362118117104483014,Ghana,11-25-2020,1969,51,40+,Male,Brong-Ahafo,Kintampo North,Rural area [village/farm],No,No,No,No,No,Yes,No,No,0,0,Neighbor,250,The same as before,No,No,No,No,No,Yes,No,No,0,0,250
UPS2826716927515934101,Ghana,11-24-2020,1994,26,25-40,Male,Volta,Central Tongu,Urban area [city/town],No,No,No,No,No,Yes,No,No,0,0,I must walk to it,80,The same as before,No,No,No,No,No,Yes,No,No,0,0,80
UPS5532799613418667054,Ghana,11-21-2020,1988,32,25-40,Male,Volta,Central Tongu,Urban area [city/town],Yes,No,No,No,No,No,No,No,3,6,Neighbor,1,The same as before,Yes,No,No,No,No,No,No,No,4,6,1
UPS8013669656626428788,Ghana,11-25-2020,1998,22,15-24,Male,Northern,Kpandai,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,30,More difficult,No,No,Yes,No,No,No,No,No,0,0,10
UPS-1450078493305713489,Ghana,11-17-2020,1987,33,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,20,More difficult,No,No,No,Yes,No,No,No,No,0,0,15
UPS7407788550677308752,Ghana,11-24-2020,1990,30,25-40,Male,Northern,Tatale Sanguli,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,0,The same as before,No,No,Yes,No,No,No,No,No,0,0,0
UPS3322285263828436451,Ghana,11-23-2020,1990,30,25-40,Male,Volta,Central Tongu,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,24,Neighbor,2,The same as before,No,Yes,No,No,No,No,No,No,7,24,0
UPS-5994406638083647930,Ghana,11-19-2020,1992,28,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,2,The same as before,No,No,No,No,No,No,No,Yes,0,0,300
UPS-2952741422665658045,Ghana,11-24-2020,1978,42,40+,Male,Volta,Kadjebi,Rural area [village/farm],No,Yes,No,No,No,No,No,No,1,12,I must walk to it,5,The same as before,No,Yes,No,No,No,No,No,No,2,12,5
UPS39271088512186435,Ghana,11-19-2020,1987,33,25-40,Male,Brong-Ahafo,Dormaa West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,3,The same as before,No,No,No,Yes,No,No,No,No,0,0,3
UPS7258865858534551990,Ghana,11-25-2020,1993,27,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,27,Easier,No,No,Yes,No,No,No,No,No,0,0,40
UPS5393102127918586787,Ghana,11-18-2020,1988,32,25-40,Male,Volta,Kadjebi,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS-9031125461153205359,Ghana,11-24-2020,1990,30,25-40,Male,Northern,Nanton,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,9,In my home or compound,20,More difficult,No,Yes,No,No,No,No,No,No,3,9,20
UPS1003793541590616268,Ghana,11-21-2020,1995,25,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,9,The same as before,No,No,No,Yes,No,No,No,No,0,0,7
UPS-4518006299508195578,Ghana,11-17-2020,1986,34,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,0,The same as before,No,No,Yes,No,No,No,No,No,0,0,0
UPS-7316673610769046873,Ghana,11-24-2020,1991,29,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,50,The same as before,No,No,No,Yes,No,No,No,No,0,0,50
UPS-370042203522081649,Ghana,11-20-2020,1984,36,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,200,The same as before,No,No,No,No,No,No,No,Yes,0,0,200
UPS6730913675028032640,Ghana,11-23-2020,1983,37,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,50,The same as before,No,No,No,No,No,No,No,Yes,0,0,50
UPS2470648086902063679,Ghana,11-23-2020,1999,21,15-24,Female,Volta,Ketu North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,100,Easier,No,No,Yes,No,No,No,No,No,0,0,200
UPS-7217326158747224510,Ghana,11-24-2020,1997,23,15-24,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,0,More difficult,No,Yes,No,No,No,No,No,No,2,12,150
UPS-8359055914248619369,Ghana,11-24-2020,1990,30,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,30,More difficult,No,No,No,No,No,No,No,Yes,0,0,70
UPS-3696111925125798867,Ghana,11-24-2020,1999,21,15-24,Male,Volta,Ho West,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,10,Neighbor,0,The same as before,Yes,No,No,No,No,No,No,No,5,10,200
UPS-2016167121711814767,Ghana,11-25-2020,1980,40,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,Yes,No,Yes,0,0,I must walk to it,1,More difficult,No,No,No,No,No,No,Yes,No,0,0,100
UPS-4124050810470928924,Ghana,11-17-2020,1996,24,15-24,Female,Northern,Zabzugu,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,15,The same as before,No,No,No,Yes,No,No,No,No,0,0,0
UPS6722208094582150208,Ghana,11-23-2020,1973,47,40+,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,15,I must walk to it,10,Easier,No,Yes,No,No,No,No,No,No,5,10,50
UPS-1019476044180353551,Ghana,11-17-2020,1985,35,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,30
UPS-1499792940592936214,Ghana,11-23-2020,1995,25,25-40,Male,Volta,Ketu North,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,15,More difficult,No,No,No,Yes,No,No,No,No,0,0,25
UPS435537624427951987,Ghana,11-17-2020,1994,26,25-40,Male,Volta,Afadzato South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS8398180021727430138,Ghana,11-22-2020,1996,24,15-24,Male,Brong-Ahafo,Nkoranza North,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,8,Neighbor,40,Easier,Yes,No,No,No,No,No,No,No,5,8,30
UPS-7233685477588459397,Ghana,11-23-2020,1997,23,15-24,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,5,More difficult,No,No,No,No,No,No,No,Yes,0,0,1
UPS-8864413148772476960,Ghana,11-21-2020,1992,28,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,Neighbor,200,Easier,No,No,No,No,Yes,No,No,No,0,0,350
UPS2087868031884294554,Ghana,11-20-2020,1996,24,15-24,Female,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,6,I must walk to it,30,The same as before,No,Yes,No,No,No,No,No,No,4,4,30
UPS4631337568292685738,Ghana,11-20-2020,1983,37,25-40,Male,Volta,Ho West,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,24,I must walk to it,200,Easier,Yes,No,No,No,No,No,No,No,4,2,2
